🕘️更新时间,#genre#
2026-01-17 07:07:20,https://0472.org/hls/cgtn.m3u8

☘️央视频道,#genre#
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

📡卫视频道,#genre#
北京卫视,https://migu.188766.xyz/?migutoken=b9760ec93f5733335005c7294618ef0d&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&type=yy
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-6.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-2.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-4.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-10.m3u8
北京卫视,https://stream1.freetv.fun/a2b77b13f92531d7d4caf730dc6335d64bf721447832027bbc45fc614c5a3d64.m3u8
北京卫视,https://stream1.freetv.fun/46ab56946a7aefb0c2efaeead6add73416a1f38b70b457f35faaf98ca19d9321.m3u8
东方卫视,https://migu.188766.xyz/?migutoken=99cfd59e399250d8c9fd60fdf6d5f688&id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&type=yy
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi-2.m3u8
东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi-6.m3u8
东方卫视,https://stream1.freetv.fun/1adeb3128cbc7c74ed017192dc53a04fbf7d1add75418b57417546d1047b3a72.m3u8
东方卫视,https://stream1.freetv.fun/25958193feebada21ab449c25162cd19070766c982f7595d9ae00e6eeccdd444.m3u8
东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi-8.m3u8
东方卫视,https://stream1.freetv.fun/a8d11bb4272a7aefc8c6a7056438b7329dce24c565aa1bc77593c02ddb36386f.m3u8
